app名称,英文名称,一级分类,安装人数,软件大小,头像地址,描述,新版本截图,开发者,apk下载地址,软件短评,版本号,id号码,vcode,新版本号
酷狗音乐,com.kugou.android,影音播放,431.8万人安装,60.77MB,https://android-artworks.25pp.com/fs08/2019/05/29/6/106_0338e09e3c3bf2d4b90b5c10e5ee2685_con_130x130.png,【酷狗音乐核心功能】1. 全新界面，打造属于你的首页 ,"['https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_f0a676599c566a5b6f32a911ae63f96d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/1/106_581641504258bb57655a938c20f8427b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_d6e0e7f9d5e745f2e3705c3f57885473_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/3/106_0128c343340edb06ac3d700bb7d9d608_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_29d84947d9cbfa1d04aff26cdd466ced_234x360.jpg']",广州酷狗计算机科技有限公司,https://www.wandoujia.com/apps/com.kugou.android/download/dot?ch=detail_normal_dl,  人气音乐播放器，海量曲库  , 9.2.2,34221,9225, 9.2.2
PP视频,com.pplive.androidphone,影音播放,75.9万人安装,86.05MB,https://android-artworks.25pp.com/fs08/2019/06/11/7/110_96e67388558c73225ac239409754d5d3_con_130x130.png,— 正在热播 —-《因法之名》 李幼斌李小冉张丰毅携手平反冤假错案-足球热点更多多，亚冠、欧冠、五大联赛、中国杯，中超燃烧你的足球情-《护宝风云》全网独播，《灵魂摆渡》主演再度集结，夺宝联盟上演巅峰对决- 超燃美剧风暴来袭，《星际迷航发现者号》、《亿万2》、《风骚律师第三季》、《百战天龙》、《天生冤家第三季》即将上线-《危机迷雾》全网首播，最孤独的“伪装者”谍战上海滩-《小白菜奇案》全网独播，王保长再度化身奸佞之臣，引发震古烁今的冤假奇案。-《有些室友不能碰》超搞笑青春校园情景剧，带你回忆你的青春年华-《冷枪手》 精英特工终极猎杀上演夺宝碟中谍-《英雄诀》徐妙云、朱允炆、朱棣身处乱世的一段爱情传奇-《有个地方叫马兰》用一生的时间书写了一个大爱传奇-《你是我的亲人》三个家庭互相抱错孩子的家庭纠纷-《小女花不弃》甜美林依晨再穿古装演绎花样虐狗-WWE，这是肌肉与荷尔蒙的角斗场-《烽火线》剿匪反特，生气绝杀白狼岭-《雪地娘子军》谁说女子不如男，看女子如何在抗日战斗顶半边天-《刘家媳妇》农村那些家长里短爆笑事儿-《星火云雾街》身逢乱世，身不由己，爱恨纠葛-《荡寇》李茂，蓝盈莹相爱相杀-《特种兵之深入敌后》四人组特战小组深入敌后，惊心动魄打抗战-《我不是药神》真实故事改编，演技炸裂让人切身感受流泪的好电影-《我们的四十年》金世佳柴碧云致敬时代青春-《浴血十四年》十四年浴血抗战只为一朝胜利-《凉生，我们可不可以不忧伤》程天佑打响恋爱反攻战-《决胜》沪上风云再起，刘小锋涅槃归来浴血成军-《暖男记》是暖男，不是中央空调的霸道总裁。-《侏罗纪世界2》带你回到恐龙时代，体会与恐龙战斗！-《罗布奥特曼》以奥特战士之名，战斗吧！-《战天狼》小张铎、于震、张光北领衔主演，重回艰苦抗争岁月-《开封府》包拯智破离奇迷案，将反腐斗争进行到底！-《黑豹》双豹之战，胜者称王，谁将统治最有钱的国家瓦坎达？-《名侦探柯南》日本警察的救世主，平成年代的福尔摩斯带你一起破案！-《昼颜》完美诠释禁忌爱情的虐恋-《婚姻遇险记》韩雪演绎现代职场青春宫斗剧 PP视频2019更新内容— 本次更新 —-《铁血茶城》6月3日全网独播，剧版《血战钢锯岭》真实还原剿匪秘史。-《无名卫士》5月31日全网首播，李乃文变身刑侦高手追凶护国。-《见识》智慧生活，极物黑科，有格调、有品位、有内涵，展现远见卓识。-《拾趣》一个主题，十个看点，有品有料趣味十足，总有一点戳中你的心。-《因法之名》全网独播，老戏骨齐聚同台飙戏-亚冠、欧冠、五大联赛、中国杯，中超燃爆这个足球季-《有些室友不能碰》全网独播，PP视频首部校园青春情景剧-《冷枪手》全网独播，精英特工终极猎杀上演夺宝碟中谍-《英雄诀》全网独播，一代佳人情牵两代帝王，宁静张睿吕良伟携手演绎大明风云-《有个地方叫马兰》全网独播，老一辈革命人扎根戈壁心系祖国命运的无私付出-《你是我的亲人》全网首播，因唐山地震报错孩子引发三个家庭的爱恨纠纷-《恩情无限》全网首播，生母养母夺子大战，既走心又催泪！-《小女花不弃》全网首播，林依晨、张彬彬，甜虐进阶恋-《刘家媳妇》全网首播，新农村爆笑姐弟恋-《烽火线》全网独播，生死搏杀剿匪传奇-《雪地娘子军》全网首播，再现抗日反击战 ,"['https://android-screenimgs.25pp.com/fs08/2019/06/17/4/110_cd8f223e341862499638c8efb00a6d2c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/8/110_c70062e4d69169d43552f63b806bfe10_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/2/110_481258d7d514465a044d09318a94968f_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/3/110_bf255169ba35514ddfaa9204eae0725d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/8/110_495260458ebc1ce0850c4e07789b7727_234x360.jpg']",上海聚力传媒技术有限公司,https://www.wandoujia.com/apps/com.pplive.androidphone/download/dot?ch=detail_normal_dl,  中超五大联赛独播  , 7.8.1,31891,296, 7.8.1
优酷视频-这！就是街舞2精彩呈现,com.youku.phone,影音播放,355.6万人安装,50.18MB,https://android-artworks.25pp.com/fs08/2019/06/19/4/110_d411ece4a972b2e5b1c6544e6faf7068_con_130x130.png,【精品内容，尽在优酷】《这！就是街舞》第二季五月燃爆来袭，5月18日起每周六全网播出《强风吹拂》邢昭林、李凯馨领衔主演清甜“砂糖剧”，6月6日起全网播出《青囊传》冷面神医木星尘遇上鬼马大小姐叶云裳，共谱沙雕情歌，5月30日起全网播出《笑傲江湖》第四季以喜剧之名，助力生活，5月25日起每周六全网播出《少年派》养一朵梦想，等待他发光，6月9日起全网播出《我最爱的女人们》蔡少芬、钟丽缇等四组明星夫妻带着婆婆去旅行，看“三夹板”老公如何化解婆媳问题，5月11日起每周六全网播出《极限挑战》全新出发，第五季开心来袭，5月12日起每周日全网播出国内外大剧热综、扎堆院线影片、二次元热血动漫……看视频，用优酷APP 优酷视频-这！就是街舞2精彩呈现2019更新内容 1. 新增精彩好内容《少年派》《带着爸爸去留学》2. 高清经典频道改版啦，全新视觉体验升级~3. 电影播放页改版，全新质感，全新体验，打造不一样的观影体验4. 进入app，一键到达【猜你喜欢】，多分类有趣内容刷不停 ,"['https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_f0a676599c566a5b6f32a911ae63f96d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/1/106_581641504258bb57655a938c20f8427b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_d6e0e7f9d5e745f2e3705c3f57885473_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/3/106_0128c343340edb06ac3d700bb7d9d608_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_29d84947d9cbfa1d04aff26cdd466ced_234x360.jpg']",优酷信息技术（北京）有限公司,https://www.wandoujia.com/apps/com.youku.phone/download/dot?ch=detail_normal_dl,  知否知否应是绿肥红瘦、挑战吧太空尽在优酷  , 8.0.3,2398055,197, 8.0.3
花间娱乐直播交友,com.yr.huaxiu,影音播放,36.9万人安装,63.26MB,https://android-artworks.25pp.com/fs08/2019/05/10/3/110_fcb5bfc3382e7a0972d496195ec6437a_con_130x130.png,花间娱乐，带给你不一般的愉悦体验！真人在线视频聊天交友才艺秀，随时随地面对面视频聊天，告别无聊，拒绝单身，漫漫长夜，从此不孤单！ 【花样】多种才艺频道，想看的想听的你都能找到~【视频面对面】视频面对面，实时感受彼此喜怒哀乐~【私信畅聊】消息秒回，体会最亲密的贴心陪伴~【真实认证】严格审核，拒绝虚伪照骗弄虚作假！女生主动型视频交友，不怕速来体验！ 花间娱乐直播交友2019更新内容1.	修复若干bug，优化了界面，体验更流畅2.	更多功能尽在新版本，赶快下载体验吧 ,"['https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_f0a676599c566a5b6f32a911ae63f96d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/1/106_581641504258bb57655a938c20f8427b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_d6e0e7f9d5e745f2e3705c3f57885473_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/3/106_0128c343340edb06ac3d700bb7d9d608_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_29d84947d9cbfa1d04aff26cdd466ced_234x360.jpg']",深圳市千森网络科技有限公司,https://www.wandoujia.com/apps/com.yr.huaxiu/download/dot?ch=detail_normal_dl,  在线视频直播交友  , 6.3.30,7867284,63300, 6.3.30
西瓜视频,com.ss.android.article.video,影音播放,305.9万人安装,14.41MB,https://android-artworks.25pp.com/fs08/2019/06/14/10/110_69ecf9f50a6844fe0e96bef055ea29bf_con_130x130.png,西瓜视频，新鲜好看刷不停！超过3亿人懂得生活趣味的人，都在用西瓜视频，你也快来加入吧！《大叔小馆》原创互动生活体验真人秀。由孟非、郭德纲、佟大为、郭京飞四位“叔级”明星担任常驻嘉宾。展现他们四位在大理经营一家烧烤店的故事。顶级搞笑，温馨并存，看孟非郭德纲综艺再聚！湖南卫视《亲爱的客栈2》官方视频合作伙伴。刘涛夫妇娱乐生活就刷西瓜视频，王鹤棣霸道推荐！武艺马思超看了又看！【刷到的都喜欢，想看的全都有】海量精彩内容填充你娱乐生活的24小时。人工智能为你推荐量身打造的兴趣视频。越用越懂你！【画质高清，更清晰！不要广告，更畅快！】高清追大片，蓝光更清晰！看视频无打扰，甩开广告放肆看，精彩无极限！【西瓜直播，喜欢的就在眼前】游戏大神、神奇体验、新闻热点，西瓜直播，让一切在你眼前发生！【六大热门综艺认证，新鲜又好看】《亲爱的客栈》陈翔温情推荐！《天天向上》关晓彤、大张伟、钱枫越刷越爱看！《演员的诞生》翟天临神演技演绎西瓜视频超新鲜！《我是大侦探》韩雪机智推荐，游戏内容超给劲！《高能少年团》杨紫、徐璐，青春少女必备视频APP！《亲爱的客栈2》刘涛夫妇、王鹤棣、武艺、马思超，联袂推荐！【联系我们】在线帮助：打开西瓜视频，在【我的】页面 - 【反馈】入口进行问题反馈内测交流：添加官方qq群（安卓：878248978、iOS：646387934，备注：西瓜用户）关注我们：西瓜视频账号/头条号：@西瓜视频微信：@西瓜视频官号上传你的视频：mp.toutiao.com 西瓜视频2019更新内容-《大叔小馆》全网独家播出！由孟非、郭德纲、佟大为、郭京飞四位“叔级”明星担任常驻嘉宾，展现他们四位在大理经营一家烧烤店的故事。顶级搞笑，温馨并存，看孟非郭德纲综艺再聚！- 登录体验整体优化- Bug修复、提升用户体验 ,"['https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_f0a676599c566a5b6f32a911ae63f96d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/1/106_581641504258bb57655a938c20f8427b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_d6e0e7f9d5e745f2e3705c3f57885473_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/3/106_0128c343340edb06ac3d700bb7d9d608_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/29/4/106_29d84947d9cbfa1d04aff26cdd466ced_234x360.jpg']",运城市阳光文化传媒有限公司,https://www.wandoujia.com/apps/com.ss.android.article.video/download/dot?ch=detail_normal_dl,  懂得生活趣味的人都在用  , 3.6.6,7063907,366, 3.6.6
腾讯视频,com.tencent.qqlive,影音播放,438.3万人安装,36.8MB,https://android-artworks.25pp.com/fs08/2019/06/17/0/110_03a70799239248d6936e9c17c8d4399c_con_130x130.png,【精彩内容，现在就要】VIP限时5折，开年卡送1年京东PLUS会员！6.16-6.20，共5天！ 预约5折大促赢Beats耳机、iPhone8 PLUS等大奖《半生缘》：刘嘉玲蒋欣演绎张爱玲名作《我的真朋友》：Baby邓伦朱一龙甜蜜三角关系《听雪楼》：浪漫新武侠！秦俊杰袁冰妍江湖相恋《泰国版匆匆那年》：经典小说翻拍，陈寻方茴青春年华勇敢追爱《恶魔债主》：泰式狗血剧！平凡女孩做助理还债遇真爱《比悲伤更悲伤的故事》：年度“哭片”好扎心《反贪风暴4》：古天乐、林峯上演监狱风云《海市蜃楼》：烧脑凶案交织惊天反转《驯龙高手3》：泪目！小嗝嗝没牙仔终告别《流浪地球》：吴京点燃木星拯救地球《我们是真正的朋友》：大小S阿雅范晓萱四姐妹，重返20岁旅行实现彼此心愿《拜托了冰箱5》：何炅、王嘉尔携厨师团揭秘嘉宾冰箱，畅聊美食生活《忘不了餐厅》：黄渤化身餐厅店长和认知障碍老人开启遗忘与守望的温暖碰撞《奔跑吧3》：Baby、李晨、郑恺携手新成员全新出发，实力演绎奔跑的N种姿态《极限挑战5》：热巴成新团宠，岳云鹏雷佳音爆笑加盟，和极限帮一起开启长江之旅《行星》： BBC年度巨制！太阳系“家族秘史”，揭秘行星间的“爱恨情仇”《早餐中国》：只要早起，你就能找到故乡。走遍全国带你逐一寻味《绝命响应》：战斗升级！特效燃爆！未来大战人工智能《天行九歌》：战国题材超高颜值的权谋史诗《斗罗大陆》：前尘巴蜀虽如梦 此生不悔入唐门《雄兵连》：硬核科幻！超级战士抗击外星入侵《公告牌音乐奖》：欧美Diva齐聚开唱《李易峰2019生日会》：台上吃火锅！新专辑首秀《咖宝蛋神》：萌蛋酷车变形顽逗机甲《救援宝贝》：安全知识保护孩子成长《小伶魔法世界》：小伶姐姐的魔法之旅《小猪佩奇》：最新佩奇跟你一起快乐成长众多顶级内容独家揽入，HBO独家官方授权播放平台，腾讯视频不负好时光！【意见反馈】如遇问题或者有好的建议，欢迎加入体验群反馈，安卓交流群QQ：632943108 腾讯视频2019更新内容1.doki广场体验优化啦，快来看你的idol吧！2.VIP限时5折，开年卡送1年京东PLUS会员！6.16-6.20，共5天！ 预约5折大促赢Beats耳机、iPhone8 PLUS等大奖 ,"['https://android-screenimgs.25pp.com/fs08/2019/06/11/1/110_1647eb93d0aff3911df28ef643c66809_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/5/110_9d2d19b577a0c30325a3ed2fbf22c30b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/6/110_7efa81b2ad60cba32a2e45f4b399d7ec_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/2/110_5966f69cbf0ba480ed4d35eebdf4b714_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/2/110_2fe25178b13e75ae08a611be8a9a60fb_234x360.jpg']",腾讯科技（北京）有限公司,https://www.wandoujia.com/apps/com.tencent.qqlive/download/dot?ch=detail_normal_dl,  三国机密全网独播  , 7.1.8.19675,280237,19675, 7.1.8.19675
火山小视频,com.ss.android.ugc.live,影音播放,317.1万人安装,29.99MB,https://android-artworks.25pp.com/fs08/2019/06/17/7/110_7474628625e0d90a0d2e16040cad8082_con_130x130.png,火山小视频 —分享生活，让世界为你点赞。这里都是热爱生活、乐于分享的各行各业的普通人在火山，分享真实生活，记录精彩瞬间。下载火山小视频，和宋丹丹、章子怡、刘烨一起见证演员的诞生；还有小鲜肉彭昱畅，花式圈粉陶虹，更有俞灏明、谢大脚教你拍视频上火山～【美颜、滤镜效果】超多美颜滤镜、激萌自拍表情、海量背景音乐，创作属于自己的15s短视频，一秒编辑变大片！【支持高清播放上传】实时传递高清画面，录制上传更稳定；提前缓存免流量，大屏观看同样清晰，视频播放体验！【下载分享至朋友圈】配乐视频全部支持下载、分享上传至朋友圈，一键操作简单方便，玩转朋友圈利器，从此不担心丢失精彩生活片段！【达人奇趣都在火山】这里有各种圈子达人-冲浪者、旅行家、建筑师...每个人在这里展示才艺、创意；发现喜欢你的人，让火山根据算法定制你专属的视频内容，新鲜永远刷不停！来火山小视频，收获新奇有趣的世界！@联系我们-应用内反馈：「我的」-「设置」-「反馈与帮助」-举报与投诉：jubao@huoshan.com 火山小视频2019更新内容优化产品体验修复了一些问题 ,"['https://android-screenimgs.25pp.com/fs08/2019/06/11/1/110_1647eb93d0aff3911df28ef643c66809_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/5/110_9d2d19b577a0c30325a3ed2fbf22c30b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/6/110_7efa81b2ad60cba32a2e45f4b399d7ec_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/2/110_5966f69cbf0ba480ed4d35eebdf4b714_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/2/110_2fe25178b13e75ae08a611be8a9a60fb_234x360.jpg']",北京微播视界科技有限公司,https://www.wandoujia.com/apps/com.ss.android.ugc.live/download/dot?ch=detail_normal_dl,  在火山，热爱生活  , 6.6.0,6837011,660, 6.6.0
QQ音乐,com.tencent.qqmusic,影音播放,3人安装,58.83MB,https://android-artworks.25pp.com/fs08/2019/06/10/9/110_a57c8697d64b70d4fd8684d731a42598_con_130x130.png,【千万正版高品质乐库】：收录千万量级的正版高品质音乐，让你畅享听觉盛宴。【全新发现页，寻回最初遇见音乐的喜悦】精选推荐的音乐杂志和专栏 ，带你发现更多好音乐。【智能推荐帮你轻松发现音乐】：提供猜你喜欢、新歌首发、歌单广场、排行榜等多种推荐方式，让你更轻松地发现喜欢的音乐。【融入社交让音乐更多惊喜互动】：可以点歌给QQ/微信好友，述说你的音乐故事，可以将音乐分享到朋友圈、微博、空间，表达你的音乐心情，还可以聆听好友分享，邂逅音乐惊喜。 QQ音乐2019更新内容1.「铃声」支持将歌曲设置为来电、短信、闹钟铃声，QQ音乐千万正版曲库任你挑选；新增按歌词来剪辑歌曲，更直观、更简单2.「视频」优化视频播放进度条拖动体验，增加H.265视频的支持 ,"['https://android-screenimgs.25pp.com/fs08/2019/06/11/1/110_1647eb93d0aff3911df28ef643c66809_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/5/110_9d2d19b577a0c30325a3ed2fbf22c30b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/6/110_7efa81b2ad60cba32a2e45f4b399d7ec_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/2/110_5966f69cbf0ba480ed4d35eebdf4b714_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/2/110_2fe25178b13e75ae08a611be8a9a60fb_234x360.jpg']",腾讯音乐娱乐（深圳）有限公司,https://www.wandoujia.com/apps/com.tencent.qqmusic/download/dot?ch=detail_normal_dl,  我们用心做好音乐  , 9.1.0.9,280003,1018, 9.1.0.9
铃声多多,com.shoujiduoduo.ringtone,影音播放,77.9万人安装,14.51MB,https://android-artworks.25pp.com/fs08/2019/06/17/1/110_95323fa203bbfecf4ca5cb6e4bc127c1_con_130x130.png,铃声多多 手机铃声大全！中国移动、中国电信、中国联通3大运营商音乐基地战略合作产品！百万铃声，轻松一键设置！手机铃声，来电彩铃，短信闹铃……好听的不要不要哒~● 实时获取你想要的铃声。火热铃声实时更新，把握时尚风向标，网罗分享量超高的铃声，汇总个性又流行的彩铃（炫铃）……神马热播电视剧插曲的铃声(铃音)？神马火热流行单曲的铃声(铃音)？神马搞怪的耍宝铃声(铃音)？铃声多多都有~都有~都有哦~~● 铃声多多~分类多多。精细铃声分类，经典、原创、翻唱、恶搞、影视、动漫选你喜欢。流行金曲，影视热曲，动漫游戏，短信闹铃，DJ舞曲，搞笑另类，网络神曲，网友上传等；田馥甄、刘德华、林宥嘉、五月天、梁静茹、EXO……热门歌曲铃声、彩铃（炫铃），每日更新1000+曲库超全，只要你想得到，在多多就能找得到~● 提供搜索热词榜。音乐、情感、语录、口白、Mc、电音、DJ、串烧舞曲、火热的抖音短视频原声铃声、彩铃（炫铃）统统打包送给你火热手机铃声、经典老歌、个性Diy彩铃（炫铃）……快来看看大家都在搜什么吧。● 要不同就来多多Diy。铃声多多还有上档次的剪辑，录制功能哦~Diy制作你的个性铃声，更加与众不同更酷炫~● 点下就播放，一键完成设置，超简单呢。轻松设置铃声、彩铃（炫铃）、短信、闹铃，还可以给特别的联系人设置单独的来电铃声哦！● 炫爆朋友圈，拉风更受欢迎哦。微博、微信、短信分享喜欢的铃声、短信、闹铃、搞笑段子给朋友们吧~好东西不要私藏哟~酷我音乐、酷狗音乐、QQ音乐、网易云音乐、咪咕音乐、多米音乐等APP知名专辑达人来与你分享超火热的铃声、彩铃（炫铃）。让你分分钟炫爆朋友圈、支持缓存发布到空间使用哦~超好用的铃声、彩铃（炫铃）软件，全面支持移动、联通、电信彩铃业务。百万高品质铃声资源，支持个性化DIY铃声剪辑，喜欢的音乐可以直接自己剪辑设置哦~如此强大的手机铃声设置功能，你还在等什么？ 铃声多多2019更新内容百万手机铃声音乐正版彩铃大全官方推荐，装机，手机铃声大全！中国移动，中国电信，中国联通三大音乐基地战略合作产品预热圣诞节，换一首甜蜜的铃声去遇见幸福吧火热手机铃声、经典老歌、个性Diy彩铃（炫铃)音乐、情感、语录、口白、电音、DJ、串烧舞曲、火热的抖音短视频原声铃声、彩铃（炫铃）统统打包送给你如此强大的手机铃声设置功能，你还在等什么？ ,"['https://android-screenimgs.25pp.com/fs08/2019/06/17/4/110_cd8f223e341862499638c8efb00a6d2c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/8/110_c70062e4d69169d43552f63b806bfe10_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/2/110_481258d7d514465a044d09318a94968f_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/3/110_bf255169ba35514ddfaa9204eae0725d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/17/8/110_495260458ebc1ce0850c4e07789b7727_234x360.jpg']",北京多宝灵动科技有限公司,https://www.wandoujia.com/apps/com.shoujiduoduo.ringtone/download/dot?ch=detail_normal_dl,  装机必备，超强铃声应用  , 8.7.54.0,26811,60087540, 8.7.54.0
酷我音乐,cn.kuwo.player,影音播放,105.4万人安装,50.15MB,https://android-artworks.25pp.com/fs08/2019/06/14/4/110_04a53cdd2aea3f4e0abdd5449b3cb12b_con_130x130.png,《榜样阅读》全网独播，每周二定时更新，朱一龙、王一博、张继科、肖战、蔡徐坤、白宇、许魏洲等人气明星为你读书 【综艺歌曲】创造营2019，邀你共同见证男团的诞生【海量音乐】海量正版音乐，热歌新歌随时听 【歌单推荐】每日推荐精选歌曲，你想听的都在这里 【主题电台】情感、脱口秀、广播剧，电台节目应有尽有 酷我音乐2019更新内容- 个人中心全新改版，我的音乐中心，肆意装扮- 评论优化，一个更有料的评论区- 支持无障碍视听，呵护视力障碍用户听歌权益 ,"['https://android-screenimgs.25pp.com/fs08/2019/06/11/1/110_1647eb93d0aff3911df28ef643c66809_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/5/110_9d2d19b577a0c30325a3ed2fbf22c30b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/6/110_7efa81b2ad60cba32a2e45f4b399d7ec_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/2/110_5966f69cbf0ba480ed4d35eebdf4b714_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/11/2/110_2fe25178b13e75ae08a611be8a9a60fb_234x360.jpg']",北京酷我科技有限公司,https://www.wandoujia.com/apps/cn.kuwo.player/download/dot?ch=detail_normal_dl,  听歌用酷我，资源多又全  , 9.2.1.4,28047,9214, 9.2.1.4
